Local Date,State,Outage_status
03/03/2011,NY,0
03/03/2011,NY,1
03/03/2011,NY,0
03/03/2011,NY,1
03/03/2011,NY,1
03/03/2011,NY,1
03/03/2011,NY,0
03/03/2011,NY,0
03/03/2011,NY,1
03/03/2011,NY,1
03/03/2011,NY,0
03/03/2011,NY,1
03/03/2011,NY,1
03/03/2011,NY,1
03/03/2011,NY,0
03/03/2011,NY,1
03/03/2011,NY,1
03/03/2011,NY,1
03/03/2011,NY,1
03/03/2011,NY,1
03/03/2011,NY,0
03/03/2011,NY,1
03/03/2011,NY,0
03/02/2011,NY,0
03/02/2011,NY,0
03/02/2011,NY,1
03/02/2011,NY,1
03/02/2011,NY,1
03/02/2011,NY,0
03/02/2011,NY,1
03/02/2011,NY,0
03/02/2011,NY,1
03/02/2011,NY,0
03/02/2011,NY,0
03/02/2011,NY,1
03/02/2011,NY,1
03/02/2011,NY,1
03/02/2011,NY,1
03/02/2011,NY,1
03/02/2011,NY,1
03/02/2011,NY,0
03/02/2011,NY,1
03/02/2011,NY,1
03/02/2011,NY,1
03/02/2011,NY,1
03/02/2011,NY,1
03/02/2011,NY,0
03/02/2011,NY,1
03/02/2011,NY,1
03/02/2011,NY,1
03/02/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,0
03/01/2011,NY,0
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,0
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,0
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,1
03/01/2011,NY,1
02/28/2011,NY,0
02/28/2011,NY,0
02/28/2011,NY,1
02/28/2011,NY,1
02/28/2011,NY,0
02/28/2011,NY,1
02/28/2011,NY,0
02/28/2011,NY,1
02/28/2011,NY,1
02/28/2011,NY,1
02/28/2011,NY,1
02/28/2011,NY,1
02/28/2011,NY,1
02/28/2011,NY,1
02/28/2011,NY,0
02/28/2011,NY,1
02/28/2011,NY,1
02/28/2011,NY,1
02/28/2011,NY,1
02/28/2011,NY,1
02/27/2011,NY,1
02/27/2011,NY,1
02/27/2011,NY,0
02/27/2011,NY,1
02/27/2011,NY,1
02/27/2011,NY,0
02/27/2011,NY,1
02/27/2011,NY,1
02/27/2011,NY,1
02/27/2011,NY,1
02/27/2011,NY,1
02/27/2011,NY,1
02/27/2011,NY,0
02/27/2011,NY,1
02/27/2011,NY,1
02/27/2011,NY,0
02/27/2011,NY,1
02/27/2011,NY,1
02/26/2011,NY,1
02/26/2011,NY,1
02/26/2011,NY,1
02/26/2011,NY,1
02/26/2011,NY,1
02/26/2011,NY,1
02/26/2011,NY,0
02/26/2011,NY,1
02/26/2011,NY,0
02/26/2011,NY,0
02/26/2011,NY,1
02/26/2011,NY,1
02/26/2011,NY,1
02/26/2011,NY,0
02/26/2011,NY,1
02/26/2011,NY,1
02/26/2011,NY,0
02/25/2011,NY,0
02/25/2011,NY,1
02/25/2011,NY,0
02/25/2011,NY,0
02/25/2011,NY,1
02/25/2011,NY,1
02/25/2011,NY,1
02/25/2011,NY,1
02/25/2011,NY,0
02/25/2011,NY,0
02/25/2011,NY,1
02/25/2011,NY,1
02/25/2011,NY,0
02/25/2011,NY,1
02/25/2011,NY,1
02/25/2011,NY,0
02/25/2011,NY,1
02/25/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,0
02/24/2011,NY,1
02/24/2011,NY,0
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,0
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,0
02/24/2011,NY,0
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/24/2011,NY,1
02/23/2011,NY,1
02/23/2011,NY,1
02/23/2011,NY,1
02/23/2011,NY,0
02/23/2011,NY,1
02/23/2011,NY,0
02/23/2011,NY,1
02/23/2011,NY,0
02/23/2011,NY,0
02/23/2011,NY,0
02/23/2011,NY,0
02/23/2011,NY,1
02/23/2011,NY,0
02/23/2011,NY,1
02/23/2011,NY,0
02/23/2011,NY,0
02/23/2011,NY,0
02/23/2011,NY,1
02/23/2011,NY,1
02/23/2011,NY,1
02/22/2011,NY,1
02/22/2011,NY,1
02/22/2011,NY,1
02/22/2011,NY,1
02/22/2011,NY,1
02/22/2011,NY,1
02/22/2011,NY,0
02/22/2011,NY,1
02/22/2011,NY,0
02/22/2011,NY,0
02/22/2011,NY,1
02/22/2011,NY,1
02/22/2011,NY,1
02/22/2011,NY,1
02/22/2011,NY,1
02/22/2011,NY,1
02/22/2011,NY,0
02/22/2011,NY,0
02/21/2011,NY,1
02/21/2011,NY,0
02/21/2011,NY,1
02/21/2011,NY,1
02/21/2011,NY,0
02/21/2011,NY,1
02/21/2011,NY,1
02/21/2011,NY,1
02/21/2011,NY,0
02/21/2011,NY,1
02/21/2011,NY,0
02/21/2011,NY,1
02/21/2011,NY,0
02/21/2011,NY,1
02/21/2011,NY,1
02/21/2011,NY,1
02/21/2011,NY,1
02/21/2011,NY,1
02/21/2011,NY,1
02/21/2011,NY,1
02/21/2011,NY,1
02/21/2011,NY,1
02/21/2011,NY,1
02/21/2011,NY,1
02/21/2011,NY,1
02/21/2011,NY,0
02/21/2011,NY,1
02/21/2011,NY,1
02/20/2011,NY,1
02/20/2011,NY,1
